id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,modelo,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
64872,2019-11-12 8:00:00,CORRIENTES,21,1,1,Otro,,CHEVROLET TRACKER FWD LTZ,2017,Privado,,,,,,,
65541,2019-11-19 15:00:00,CORRIENTES,21,0,2,Automóvil,,COROLLA,2013,Privado,,,,,,,
65541,2019-11-19 15:00:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,HILUX,2011,Privado,,,,,,,
67479,2019-11-22 20:00:00,CORRIENTES,21,0,1,Automóvil,,SANDERO 1.6 16V LUXE,2018,Privado,,,,,,,
67479,2019-11-22 20:00:00,CORRIENTES,21,1,1,Motocicleta,,FX 90 SERIES,2019,Privado,,,,,,,
67484,2019-11-27 11:40:00,CORRIENTES,21,0,1,Automóvil,,POLO 1.9 SD 302,2019,Privado,,,,,,,
67484,2019-11-27 11:40:00,CORRIENTES,21,1,1,Motocicleta,,BIZ 125,2016,Privado,,,,,,,
67508,2019-12-01 8:00:00,CORRIENTES,21,0,1,Motocicleta,,110 CC,2007,Privado,,,,,,,
67515,2019-12-04 8:15:00,CORRIENTES,21,0,1,Motocicleta,,CG 150 TITAN,2011,Privado,,,,,,,
67515,2019-12-04 8:15:00,CORRIENTES,21,1,1,Automóvil,,323 F (BC9B LBJ) GLX,2010,Privado,,,,,,,
67698,2019-12-04 9:00:00,CORRIENTES,21,0,1,Motocicleta,,TORNADO,2015,Privado,,,,,,,
67707,2019-12-09 6:50:00,CORRIENTES,21,0,1,Motocicleta,,YBR,2019,Privado,,,,,,,
67707,2019-12-09 6:50:00,CORRIENTES,21,1,1,Motocicleta,,WAVE 110,2010,Privado,,,,,,,
68433,2019-12-09 13:00:00,CORRIENTES,21,0,0,Automóvil,,AVEO,,Privado,,,,,,,
68433,2019-12-09 13:00:00,CORRIENTES,21,1,1,Automóvil,,SANDERO,,,,,,,,,
68738,2019-12-03 2:30:00,CORRIENTES,21,0,1,Automóvil,,TRACKER,0,Privado,,,,,,,
68738,2019-12-03 2:30:00,CORRIENTES,21,1,1,Bicicleta,,,0,,,,,,,,
68794,2019-12-16 10:00:00,CORRIENTES,21,0,1,Motocicleta,,CG 150,,Privado,,,,,,,
68838,2019-12-13 12:45:00,CORRIENTES,21,0,1,Automóvil,,M,,,,,,,,,
68838,2019-12-13 12:45:00,CORRIENTES,21,1,1,Motocicleta,,CG 150 TITAN,,,,,,,,,
68839,2019-12-31 2:20:00,CORRIENTES,21,0,1,Automóvil,,CORSA,,Privado,,,,,,,
68839,2019-12-31 2:20:00,CORRIENTES,21,1,1,Automóvil,,PRISMA,,Privado,,,,,,,
68846,2019-12-12 7:50:00,CORRIENTES,21,0,1,Automóvil,,PALIO,,,,,,,,,
68846,2019-12-12 7:50:00,CORRIENTES,21,1,1,Automóvil,,CORSA,,,,,,,,,
68846,2019-12-12 7:50:00,CORRIENTES,21,2,1,Automóvil,,CORSA,,Privado,,,,,,,
68871,2019-12-26 22:30:00,CORRIENTES,21,0,1,Motocicleta,,STORM,,,,,,,,,
49210,2019-01-12 11:30:00,CORRIENTES,21,0,1,Motocicleta,,ZB 110 R,2017,Privado,,,,,,,
49210,2019-01-12 11:30:00,CORRIENTES,21,1,1,Bicicleta,,CROSSBLADE,2010,Privado,,,,,,,
49211,2019-01-13 6:00:00,CORRIENTES,21,0,1,Motocicleta,,STREAM,2013,Privado,,,,,,,
49213,2019-01-11 0:30:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,S 10 EFI,2015,,,,,,,,
49213,2019-01-11 0:30:00,CORRIENTES,21,1,1,Motocicleta,,ZANELLA,2018,Privado,,,,,,,
49224,2019-01-19 8:24:00,CORRIENTES,21,0,1,Automóvil,,AGILE,2014,Privado,,,,,,,
49224,2019-01-19 8:24:00,CORRIENTES,21,1,1,Automóvil,,DUNA,2002,Privado,,,,,,,
49227,2019-01-21 13:15:00,CORRIENTES,21,0,1,Automóvil,,SURAN 1.6L 5D 618,2017,Privado,,,,,,,
49227,2019-01-21 13:15:00,CORRIENTES,21,1,1,Motocicleta,,HOT,2018,Privado,,,,,,,
49231,2019-01-21 15:00:00,CORRIENTES,21,0,1,Automóvil,,GOL,2006,Privado,,,,,,,
49231,2019-01-21 15:00:00,CORRIENTES,21,1,1,Motocicleta,,SOL 70,2005,,,,,,,,
49231,2019-01-21 15:00:00,CORRIENTES,21,2,1,Automóvil,,ONIX JOY 5P 1.4 N LS MT +,2018,Publico,Pax,,,,,,
49248,2019-01-28 13:30:00,CORRIENTES,21,0,1,Motocicleta,,DUCATO 15  2..8D,2018,Privado,,,,,,,
49248,2019-01-28 13:30:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,ZB110D,2018,Privado,,,,,,,
49250,2019-01-29 12:45:00,CORRIENTES,21,0,1,Automóvil,,GOL TREND COMFORTLINE 1.6 MSI,2016,Privado,,,,,,,
49250,2019-01-29 12:45:00,CORRIENTES,21,1,1,Motocicleta,,WAVE 110,2018,Privado,,,,,,,
