id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
182664,OBSERVATORIO VIAL,2023-12-16,7:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,LA RIOJA,700,25 DE mayo,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Rozamiento,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
207684,OBSERVATORIO VIAL,2023-12-16,7:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV ALTA GRACIA,2400,,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Rozamiento,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,No,No,No,Noche,NO,,Despejado,,,Sin Semáforo
211678,OBSERVATORIO VIAL,2023-12-15,22:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,AV INDEPENDENCIA,5000,,,-4.000.000,-6.100.000,0,1,0,1,0,Caída desde vehículo,Caída desde vehículo,,,,1,,Rotonda,,,,Asfalto,,Apto,Seca,,,,Asfalto,,Si,,,Noche,,,Despejado,,,Funciona
176163,OBSERVATORIO VIAL,2023-12-13,10:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Ruta Nacional,12,,,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,,,S/D,,Si,Si,Si,Día,,,Despejado,,,S/D
186781,OBSERVATORIO VIAL,2023-12-11,12:19:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,AV CHACABUCO,1500,SUIZA,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,Si,Si,No,Día,,,Nublado,,,S/D
205605,OBSERVATORIO VIAL,2023-12-11,17:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,ROCA,1000,,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
177716,OBSERVATORIO VIAL,2023-12-10,7:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RECONQUISTA,3140,EX VÍA,,-2.749.371,-5.881.594,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Barreras de seguridad,,Ninguna,Barrera de Hormigón,S/D,S/D,No,Día,,,Despejado,,,S/D
194953,OBSERVATORIO VIAL,2023-12-09,12:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV CENTENARIO,3076,,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
199930,OBSERVATORIO VIAL,2023-12-09,19:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV LA PAZ,180,RIO NEGRO,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Noche,SI,,Despejado,,,S/D
207203,OBSERVATORIO VIAL,2023-12-09,12:57:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV CHACABUCO,1700,LA VALLE,,-2.747.916,-5.881.494,0,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Mojada,,S/D,,Asfalto,,Si,Si,No,,,,Despejado,,,Sin Semáforo
194948,OBSERVATORIO VIAL,2023-12-08,10:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RIOJA,790,,,,,1,1,0,1,1,Atropello a peatón/es,Atropello a peatón/es,,,,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,Funciona
177775,OBSERVATORIO VIAL,2023-12-08,13:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA 3 DE ABRIL,1250,MENDOZA,CÓRDOBA,-2.747.576,-5.883.597,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,No obstruido,Otro,HORMIGÓN,Apto,Seca,,Otro,PARTERRE,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
186727,OBSERVATORIO VIAL,2023-12-08,14:10:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,CARTAGENA,3900,LAS PIEDRAS,,,,1,0,0,1,0,Colisión entre vehículos,Colisión entre vehículos,,,,1,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
197452,OBSERVATORIO VIAL,2023-12-05,9:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,TENIENTE IBAÑEZ,800,GOBERNADOR RUIZ,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
181847,OBSERVATORIO VIAL,2023-12-05,23:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV MAIPU,2200,RECONQUISTA,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Noche,SI,,Despejado,,,S/D
212423,OBSERVATORIO VIAL,2023-12-04,0:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,JUNIN,600,TUCUMAN,,,,0,3,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Noche,NO,,Despejado,,,Sin Semáforo
214658,OBSERVATORIO VIAL,2023-11-30,9:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Ruta Nacional,12,1034,AV LIBERTAD,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,,,Pasto,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
198236,OBSERVATORIO VIAL,2023-11-25,7:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,MAIPU,404,,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,,Asfalto,,Apto,Seca,,Ninguna,,Asfalto,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
181821,OBSERVATORIO VIAL,2023-11-20,12:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,SAN JUAN,3700,IBERA,,,,0,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
