id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
49114,2018-11-27 11:00:00,CORRIENTES,21,1,1,Automóvil,,2013,Privado,,,,,,,
49122,2018-11-30 10:00:00,CORRIENTES,21,0,1,Automóvil,,2017,Privado,,,,,,,
49122,2018-11-30 10:00:00,CORRIENTES,21,1,1,Automóvil,,2015,Privado,,,,,,,
49122,2018-11-30 10:00:00,CORRIENTES,21,2,1,Automóvil,,2015,Privado,,,,,,,
49126,2018-12-01 11:20:00,CORRIENTES,21,0,1,Automóvil,,2013,Privado,Emergencia,,,,,,
49126,2018-12-01 11:20:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
49130,2018-12-03 15:05:00,CORRIENTES,21,0,1,Automóvil,,2018,,,,,,,,
49130,2018-12-03 15:05:00,CORRIENTES,21,1,1,Transporte de pasajeros,,2018,Privado,,,,,,,
49134,2018-12-01 9:20:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,2013,Privado,,,,,,,
49134,2018-12-01 9:20:00,CORRIENTES,21,1,1,Transporte de carga,,2013,Oficial,Carga,,,,,,
49135,2018-12-02 9:05:00,CORRIENTES,21,0,1,Automóvil,,2013,Privado,,,,,,,
49135,2018-12-02 9:05:00,CORRIENTES,21,1,1,Motocicleta,,2014,Privado,,,,,,,
49137,2018-12-04 15:20:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
49137,2018-12-04 15:20:00,CORRIENTES,21,1,1,Automóvil,,2015,Privado,,,,,,,
49137,2018-12-04 15:20:00,CORRIENTES,21,2,1,Transporte de carga,,2014,Privado,,,,,,,
49140,2018-12-06 11:50:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
49140,2018-12-06 11:50:00,CORRIENTES,21,1,1,Transporte de pasajeros,,2013,Privado,,,,,,,
49155,2018-12-09 16:54:00,CORRIENTES,21,0,1,Automóvil,,2017,Privado,,,,,,,
49155,2018-12-09 16:54:00,CORRIENTES,21,1,1,Motocicleta,,2013,Privado,,,,,,,
49159,2018-12-11 18:15:00,CORRIENTES,21,0,1,Motocicleta,,2013,Privado,,,,,,,
49159,2018-12-11 18:15:00,CORRIENTES,21,1,1,Automóvil,,2013,Privado,,,,,,,
49167,2018-12-14 8:00:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
49167,2018-12-14 8:00:00,CORRIENTES,21,1,1,Automóvil,,2017,Publico,Carga,,,,,,
49168,2018-12-14 9:20:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
49168,2018-12-14 9:20:00,CORRIENTES,21,1,1,Motocicleta,,2015,Privado,,,,,,,
49180,2018-12-21 0:35:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
49194,2018-12-27 10:45:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,,,,,,,
49194,2018-12-27 10:45:00,CORRIENTES,21,1,1,Motocicleta,,2009,Privado,,,,,,,
49196,2018-12-29 11:45:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
49196,2018-12-29 11:45:00,CORRIENTES,21,1,1,Automóvil,,2012,Privado,,,,,,,
48807,2018-08-03 18:05:00,CORRIENTES,21,0,1,Automóvil,,1998,Privado,,,,,,,
48807,2018-08-03 18:05:00,CORRIENTES,21,1,1,Motocicleta,,2018,,,,,,,,
48810,2018-08-04 10:40:00,CORRIENTES,21,0,1,Automóvil,,1996,Privado,,,,,,,
48810,2018-08-04 10:40:00,CORRIENTES,21,1,1,Motocicleta,,2005,Privado,,,,,,,
48817,2018-08-07 6:15:00,CORRIENTES,21,0,1,Transporte de pasajeros,,2000,Privado,,,,,,,
48817,2018-08-07 6:15:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
48830,2018-08-16 9:00:00,CORRIENTES,21,0,1,Automóvil,,2010,Privado,,,,,,,
48830,2018-08-16 9:00:00,CORRIENTES,21,1,4,Automóvil,,2018,Privado,,,,,,,
48844,2018-08-13 1:50:00,CORRIENTES,21,0,1,Automóvil,,2013,Privado,,,,,,,
48844,2018-08-13 1:50:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
48848,2018-08-17 13:05:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
48848,2018-08-17 13:05:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
48850,2018-08-18 21:20:00,CORRIENTES,21,0,-2,Automóvil,,2013,Privado,,,,,,,
48850,2018-08-18 21:20:00,CORRIENTES,21,1,1,Motocicleta,,2014,Privado,,,,,,,
48876,2018-08-26 22:40:00,CORRIENTES,21,0,1,Motocicleta,,2014,Privado,,,,,,,
48876,2018-08-26 22:40:00,CORRIENTES,21,1,1,Motocicleta,,2014,Privado,,,,,,,
48877,2018-08-26 7:30:00,CORRIENTES,21,0,2,Motocicleta,,,Privado,Pax,,,,,,
48877,2018-08-26 7:30:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
